ID,Fecha Liturgica / Mortalidad,Nombre del Santo,Fecha de Nacimiento,Fecha de Mortalidad,Pais de Origen,Ciudad o Region,Realidad a la que pertenecio,Historia y Biografia,Detalles Curiosos o Significativos,Hijos en la fe
"81","8/Agosto","Santo Domingo","1170","06/08/1221","España","Caleruega (Burgos) / Bolonia","Sacerdote y Fundador (Orden de Predicadores - Dominicos)","Canónigo que fundó la Orden de Predicadores para combatir las herejías mediante la predicación doctrinal, la pobreza mendicante y el estudio universitario.","La Santísima Virgen le encomendó propagar el rezo del Santo Rosario.","Santo Tomás de Aquino, San Martín de Porres"
"82","10/Agosto","San Lorenzo","22/07/1559","22/07/1619","Italia / Portugal","Brindisi / Lisboa","Sacerdote Capuchino y Doctor de la Iglesia","Políglota prodigioso que dominaba el hebreo, griego y latín. Con un crucifijo en alto infundió valor a los ejércitos cristianos en la victoria de Székesfehérvár.","Llamado el 'Doctor Apostólico'. Diplomático incansable por la paz europea.","—"
"83","11/Agosto","Santa Clara","16/07/1194","11/08/1253","Italia","Asís","Virgen y Fundadora (Hermanas Clarisas)","Noble de Asís que huyó para seguir a San Francisco en la pobreza radical. Fundó las Damas Pobres en San Damián, viviendo en clausura y oración continua.","Puso en fuga a los sarracenos que asaltaban el convento exponiendo la Eucaristía. Patrona de la televisión.","Orden de Santa Clara (Clarisas)"
"84","12/Agosto","Santa Juana Francisca de Chantal","28/01/1572","13/12/1641","Francia","Dijon / Moulins","Esposa, Madre de Familia y Fundadora de la Visitación","Al enviudar, trabó santa amistad con San Francisco de Sales con quien fundó la Orden de la Visitación de Santa María para el cuidado de los pobres y ancianos.","Abuela de la célebre escritora marquesa de Sévigné.","Religiosas de la Visitación"
"85","13/Agosto","Santos Ponciano","Siglo III","235 d.C.","Italia","Roma / Isla de Cerdeña","Papa y Presbítero (Primer Antipapa Reconciliado) Mártires","Hipólito, erudito presbítero que se opuso a los pontífices y creó un cisma. Desterrado junto al Papa Ponciano a las minas de Cerdeña, se reconciliaron en el martirio.","Hermoso testimonio de unidad y perdón en el seno del martirio cristiano.","—"
"86","14/Agosto","San Maximiliano María Kolbe","08/01/1894","14/08/1941","Polonia","Zdunska Wola / Auschwitz","Sacerdote Franciscano Conventual y Mártir de la Caridad","Fundador de la Milicia de la Inmaculada. En el campo nazi de Auschwitz, se ofreció voluntariamente a morir de hambre en lugar de un padre de familia sentenciado.","Juan Pablo II lo proclamó 'Patrono de nuestro siglo difícil' y mártir de la caridad.","Milicia de la Inmaculada"
"87","15/Agosto","La Asunción de la Santísima Virgen María","—","—","Tierra Santa","Jerusalén / Éfeso","Solemnidad Mariana / Dogma de Fe","Cumplido el curso de su vida terrena, la Inmaculada Madre de Dios fue asunta en cuerpo y alma a la gloria celestial por singular privilegio divino.","Dogma definido solemnemente por el Papa Pío XII en 1950 mediante 'Munificentissimus Deus'.","—"
"88","19/Agosto","San Juan Eudes","14/11/1601","19/08/1680","Francia","Ri / Caen","Sacerdote y Fundador (Padres Eudistas)","Misionero incansable que promovió la formación de los seminaristas y fue el gran apóstol del culto litúrgico a los Sagrados Corazones de Jesús y María.","Fundó la Congregación de Jesús y María y la Orden de Nuestra Señora de la Caridad.","Padres Eudistas"
"89","20/Agosto","San Bernardo","1090","20/08/1153","Francia","Fontaine-lès-Dijon / Claraval (Clairvaux)","Abad Cisterciense y Doctor de la Iglesia","Llamado el 'Doctor Melifluo'. Ingresó al Císter arrastrando consigo a sus hermanos y nobles. Fundó el monasterio de Claraval y renovó la vida monástica y teológica europea.","Insigne cantor de las glorias marianas y mediador de los papas.","Monjes Cistercienses"
"90","21/Agosto","San Pío X","02/06/1835","20/08/1914","Italia","Riese / Roma","Papa (Giuseppe Sarto)","De origen campesino humble. Llevó a cabo la reforma de la liturgia y del Derecho Canónico; promovió la comunión frecuente y la comunión temprana de los niños.","Lema de su pontificado: 'Instaurare omnia in Christo' (Restaurarlo todo en Cristo).","—"
"91","24/Agosto","San Bartolomé","Siglo I","Siglo I d.C.","Tierra Santa","Caná de Galilea / Armenia","Apóstol de Jesucristo y Mártir","Identificado con Natanael, a quien Jesús alabó como 'un verdadero israelita sin doblez'. Predicó en la India y Armenia, donde fue desollado vivo por confesar a Cristo.","Patrono de curtidores, carniceros y zapateros.","—"
"92","25/Agosto","San José de Calasanz","Siglo I a.C.","Siglo I d.C.","Tierra Santa","Nazaret / Belén","Esposo de María y Padre Adoptivo de Jesús","Varón justo y obediente, custodio del Redentor y protector de la Sagrada Familia en el destierro y el taller de Nazaret.","Patrono universal de la Iglesia, de las familias y de los obreros.","Jesús de Nazaret (Hijo Adoptivo)"
"93","25/Agosto","San Luis de Francia","25/04/1214","25/08/1270","Francia","Poissy / Túnez","Rey de Francia y Terciario Franciscano","Monarca justo, piadoso y desprendido que lavaba los pies a mendigos y administraba justicia bajo el roble de Vincennes. Falleció de peste en la Cruzada en Túnez.","Construyó la Sainte-Chapelle de París para custodiar la Corona de Espinas de Cristo.","Pueblo de Francia"
"94","27/Agosto","Santa Mónica","331 d.C.","27/08/387","Argelia (Tagaste) / Italia","Ostia Antica","Esposa, Madre de Familia y Modelo de Oración","Con perseverantes lágrimas, oraciones y ayunos ininterrumpidos durante diecisiete años, logró la conversión de su esposo pagano y de su brillante hijo Agustín.","Patrona de las madres cristianas y de los matrimonios atribulados.","San Agustín de Hipona"
"95","28/Agosto","San Agustín","Siglo VI","26/05/604","Italia / Inglaterra","Roma / Canterbury","Monje Benedictino y Arzobispo","Enviado por San Gregorio Magno para convertir a los anglosajones. Bautizó al rey Etelberto de Kent e instauró la primacía de Canterbury.","Primer arzobispo de Canterbury y apóstol de Inglaterra.","Iglesia católica inglesa"
"96","3/Septiembre","San Gregorio Magno","540 d.C.","12/03/604","Italia","Roma","Papa, Monje Benedictino y Doctor de la Iglesia","Prefecto de Roma que convirtió su palacio en monasterio. Como pontífice organizó la caridad en Roma, promovió la misión en Inglaterra y reformó el canto sacro.","Acuñó para el Papa el título de 'Servus servorum Dei' (Siervo de los siervos de Dios). Da nombre al Canto Gregoriano.","—"
"97","5/Septiembre","Santa Teresa de Calcuta","26/08/1910","05/09/1997","Macedonia del Norte / India","Skopie / Calcuta","Virgen y Fundadora (Misioneras de la Caridad)","Escuchó el llamado de Jesús a 'saciar su sed' en los más pobres entre los pobres. Fundó las Misioneras de la Caridad vistiendo el sari blanco con franjas azules.","Premio Nobel de la Paz en 1979; atendió a miles de moribundos en las calles.","Misioneras de la Caridad"
"98","8/Septiembre","La Natividad de la Bienaventurada Virgen María","Siglo I a.C.","—","Tierra Santa","Jerusalén / Nazaret","Fiesta Litúrgica de la Madre de Dios","Nacimiento de la Niña María de los santos Joaquín y Ana, aurora que precede al Sol de Justicia que es Jesucristo Salvador del género humano.","Celebración gozosa del inicio terrenal del plan salvífico divino.","—"
"99","9/Septiembre","San Pedro Claver","26/06/1580","08/09/1654","España / Colombia","Verdú / Cartagena de Indias","Sacerdote Jesuita y Misionero","Se autoproclamó 'Esclavo de los esclavos para siempre'. Durante cuarenta años esperó los barcos negreros en el puerto de Cartagena para curar, consolar y bautizar a más de 300.000 cautivos.","Patrono de los derechos humanos y de las misiones con afrodescendientes.","—"
"100","12/Septiembre","El Santísimo Nombre de María","—","—","Universal","Roma","Fiesta Mariana","Celebración del venerable y dulce nombre de la Madre de Dios. Extendida a toda la Iglesia tras la liberación de Viena sitiada en 1683 bajo la invocación mariana.","Invocado como refugio y consuelo infalible en toda tribulación.","—"
"101","14/Septiembre","La Exaltación de la Santa Cruz","—","—","Tierra Santa","Jerusalén","Fiesta del Señor","Conmemora la recuperación de la Vera Cruz por el emperador Heraclio en el 629 y la dedicación de las basílicas del Santo Sepulcro en el Gólgota.","Victoria del árbol de la Cruz sobre la muerte y el pecado.","—"
"102","15/Septiembre","Nuestra Señora de los Dolores","—","—","Tierra Santa","Jerusalén (Calvario)","Memoria Litúrgica Mariana","Conmemoración de la íntima participación corredentora de María en la Pasión de su Divino Hijo, tal como le profetizó el anciano Simeón en el Templo.","Representada con el corazón atravesado por siete espadas de dolor.","—"
"103","16/Septiembre","Santos Cornelio","Siglo III","253 / 14/09/258","Italia / Túnez","Roma / Cartago","Papa / Obispo y Mártires","Cornelio, obispo de Roma, y Cipriano, eminente obispo de Cartago y escritor sagrado. Ambos colaboraron por la reconciliación pastoral de los caídos y murieron mártires.","Amigos inseparables unidos en una sola fiesta en la Iglesia latina.","—"
"104","17/Septiembre","San Roberto Belarmino","04/10/1542","17/09/1621","Italia","Montepulciano / Roma","Cardenal Jesuita, Teólogo y Doctor de la Iglesia","Brillante controversista de la Contrarreforma. Sus 'Disputas sobre las controversias de la fe' rebatieron con rigor a los teólogos protestantes.","Director espiritual de San Luis Gonzaga en Roma.","San Luis Gonzaga"
"105","17/Septiembre","Santa Hildegarda de Bingen","1098","17/09/1179","Alemania","Bermersheim / Bingen am Rhein","Abadesa Benedictina, Mística, Compositora y Doctora de la Iglesia","La 'Sibila del Rin'. Polifacética figura medieval que escribió tratados de teología, ciencias naturales, medicina y compuso bellísimas piezas polifónicas sacras.","Proclamada Doctora de la Iglesia por Benedicto XVI en 2012.","—"
"106","19/Septiembre","San Jenaro","272 d.C.","19/09/305","Italia","Benevento / Pozzuoli (Nápoles)","Obispo y Mártir","Obispo de Benevento que acudió a confortar a hermanos encarcelados. Arrojado a los osos que se echaron a sus pies, fue finalmente decapitado en la Solfatara.","Milagro de la licuefacción periódica de su sangre custodiada en la Catedral de Nápoles.","Pueblo napolitano"
"107","21/Septiembre","San Mateo","Siglo I","Siglo I d.C.","Tierra Santa","Cafarnaúm / Etiopía","Apóstol y Evangelista","Llamado Leví, cobrador de impuestos al servicio de Roma. Al escuchar el 'Sígueme' de Jesús, dejó el banco de tributos, organizó un banquete y escribió el primer Evangelio.","Simbolizado por el ángel u hombre alado en el Tetramorfos.","—"
"108","23/Septiembre","San Pío de Pietrelcina","25/05/1887","23/09/1968","Italia","Pietrelcina / San Giovanni Rotondo","Sacerdote Capuchino y Estigmatizado","Fraile capuchino que llevó durante cincuenta años los estigmas visibles de la Pasión de Cristo. Pasaba hasta dieciséis horas diarias confesando y fundó la Casa Alivio del Sufrimiento.","Gozaba de dones extraordinarios de bilocación y discernimiento de conciencias.","Grupos de Oración del Padre Pío"
"109","26/Septiembre","Santos Cosme y Damián","Siglo III","287 d.C.","Arabia / Siria","Ciro","Médicos Gemelos y Mártires","Médicos llamados 'anárgiros' porque curaban gratis a los enfermos para ganar sus almas a Cristo. Fueron decapitados por orden del gobernador Lisias.","Patronos celestiales de los médicos, cirujanos y farmacéuticos.","—"
"110","28/Septiembre","San Wenceslao","907 d.C.","28/09/935","República Checa","Praga / Stará Boleslav","Duque de Bohemia y Mártir","Educado por su abuela Santa Ludmila. Gobernó con justicia, caridad y amor al Santísimo Sacramento, sembrando él mismo el trigo para las hostias. Fue asesinado por su hermano.","Patrono principal de la República Checa.","Pueblo checo"
"111","28/Septiembre","Santos Lorenzo Ruiz y compañeros","1600","29/09/1637","Filipinas / Japón","Binondo (Manila) / Nagasaki","Padre de Familia, Laico y Mártires","Lorenzo Ruiz, sacristán y escribano mestizo filipino-chino, huyó a Japón con misioneros dominicos. Torturado colgado de una fosa, exclamó: 'Moriría mil veces por Cristo'.","Primer santo y protomártir de las Islas Filipinas.","Pueblo católico filipino"
"112","29/Septiembre","Santos Miguel","—","—","Corte Celestial","Cielos","Arcángeles de Dios","San Miguel ('¿Quién como Dios?'), caudillo de los ejércitos celestiales contra Lucifer; San Gabriel ('Fortaleza de Dios'), mensajero de la Encarnación; San Rafael ('Medicina de Dios'), guía y médico de Tobías.","Protectores celestiales supremos de la Iglesia universal frente a las asechanzas del enemigo.","—"
"113","30/Septiembre","San Jerónimo","347 d.C.","30/09/420","Dalmacia / Tierra Santa","Estridón / Belén","Sacerdote, Erudito Bíblico y Doctor de la Iglesia","Vivió como anacoreta en la cueva junto a la Gruta de la Natividad en Belén. Tradujo incansablemente las Sagradas Escrituras del hebreo y griego al latín: la célebre 'Vulgata'.","Acuñó la frase: 'Desconocer las Escrituras es desconocer a Cristo'. Patrono de los biblistas.","—"
"114","1/Octubre","Santa Teresa del Niño Jesús","02/01/1873","30/09/1897","Francia","Alençon / Lisieux","Virgen Carmelita Descalza y Doctora de la Iglesia","Entró al Carmelo a los 15 años. Descubrió el 'Caminito de infancia espiritual' fundamentado en la confianza filial absoluta y la entrega amorosa en las cosas pequeñas.","Patrona universal de las misiones junto a San Francisco Javier; prometió pasar su cielo haciendo bien a la tierra con una 'lluvia de rosas'.","Santos Luis Martín y Celia Guérin (Padres)"
"115","2/Octubre","Los Santos Ángeles Custodios","—","—","Corte Celestial","Cielos","Ministros Celestiales de la Divina Providencia","Espíritus bienaventurados asignados amorosamente por el Creador a cada ser humano desde el instante de su concepción para guiarlo, defenderlo e iluminar sus pasos hacia la Patria celestial.","Compañeros fieles invisibles a quienes la Iglesia dedica fiesta de gratitud.","—"
"116","5/Octubre","Santa Faustina Kowalska","25/08/1905","05/10/1938","Polonia","Głogowiec / Cracovia","Virgen Religiosa y Apóstol de la Divina Misericordia","Religiosa de la congregación de Nuestra Señora de la Misericordia. Recibió las revelaciones de Jesús Misericordioso y mandó pintar el cuadro con el lema 'Jesús, en Ti confío'.","Su 'Diario' espiritual es la fuente de la Fiesta y la Coronilla de la Divina Misericordia.","—"
"117","6/Octubre","San Bruno","1030","06/10/1101","Alemania / Italia","Colonia / Serra San Bruno (Calabria)","Sacerdote y Fundador de la Orden de los Cartujos","Catedrático de teología en Reims que abandonó los honores académicos para fundar en el valle salvaje de la Chartreuse la Orden Cartujana en el silencio contemplativo más sublime.","Lema cartujano: 'Stat Crux dum volvitur orbis' (La Cruz permanece en pie mientras el mundo gira).","Monjes Cartujos"
"118","7/Octubre","Nuestra Señora del Rosario","—","—","Universal","Roma / Lepanto","Solemnidad Mariana","Instituida en gratitud por la victoria naval de Lepanto en 1571 alcanzada gracias al rezo universal del Santo Rosario por todo el pueblo católico.","Arma espiritual insigne recomendada incesantemente por la Madre de Dios.","—"
"119","9/Octubre","San Juan Enrique Newman","21/02/1801","11/08/1890","Inglaterra","Londres / Birmingham","Cardenal Oratoriano, Teólogo y Doctor de la Iglesia","Líder del Movimiento de Oxford que tras profunda búsqueda de la verdad histórica ingresó a la Iglesia Católica. Brillante teólogo del desarrollo del dogma y la conciencia.","Lema de su escudo cardenalicio: 'Cor ad cor loquitur' (El corazón habla al corazón).","Conversos y universitarios católicos"
"120","9/Octubre","San Juan Leonardi","1541","09/10/1609","Italia","Diecimo (Lucca) / Roma","Sacerdote y Fundador (Clérigos Regulares de la Madre de Dios)","Farmacéutico que abrazó el sacerdocio en plena Reforma Católica. Fundó su congregación y fue uno de los promotores iniciales del Colegio Urbano de Propaganda Fide.","Apóstol de la catequesis infantil y de la renovación moral del clero.","Clérigos de la Madre de Dios"
"121","9/Octubre","Santos Dionisio","Siglo III","250 d.C.","Italia / Francia","Roma / París (Montmartre)","Obispo de París y Mártires","Primer obispo de París enviado a evangelizar las Galias. Decapitado junto a sus colaboradores en la colina de Montmartre ('Monte de los Mártires').","Patrono principal de Francia y de la ciudad de París.","—"
"122","14/Octubre","San Calixto I","155 d.C.","14/10/222","Italia","Roma (Trastevere)","Papa y Mártir","Antiguo esclavo que como archidiácono organizó el primer cementerio oficial de la Iglesia (Catacumbas de San Calixto). Como papa acogió con misericordia a los pecadores arrepentidos.","Mártir arrojado a un pozo con una pesada rueda de molino al cuello.","—"
"123","15/Octubre","Santa Teresa de Jesús","28/03/1515","04/10/1582","España","Ávila / Alba de Tormes","Virgen Carmelita, Reformadora y Doctora de la Iglesia","La gran reformadora del Carmelo Descalzo junto a San Juan de la Cruz. Recorrió España fundando conventos en medio de grandes penurias. Autora de 'Las Moradas' y 'Camino de Perfección'.","Primera mujer proclamada Doctora de la Iglesia Universal por Pablo VI en 1970.","San Juan de la Cruz, Familia Carmelitana Descalza"
"124","16/Octubre","Santa Eduviges","1174","15/10/1243","Alemania / Polonia","Andechs / Trzebnica","Duquesa de Silesia y Terciaria Cisterciense","Madre de siete hijos que dedicó sus riquezas ducales a fundar asilos, hospitales y conventos cistercienses. Tras enviudar tomó el hábito religioso al servicio de los mendigos.","Patrona de Silesia, de los pobres y de los endeudados.","—"
"125","16/Octubre","Santa Margarita María de Alacoque","22/07/1647","17/10/1690","Francia","L'Hautecour / Paray-le-Monial","Virgen y Monja de la Visitación","Recibió en Paray-le-Monial las célebres apariciones del Sagrado Corazón de Jesús, quien le reveló las promesas de la Comunión de los Primeros Viernes de mes.","Apóstol de la devoción moderna al Sagrado Corazón de Jesús.","San Claudio de la Colombière"
"126","17/Octubre","San Ignacio de Antioquía","35 d.C.","107 d.C.","Siria / Italia","Antioquía / Roma (Coliseo)","Obispo, Padre Apostólico y Mártir","Tercer obispo de Antioquía y discípulo del apóstol San Juan. Conducido encadenado a Roma, escribió siete cartas memorables a las iglesias locales.","Exclamó: 'Soy trigo de Dios, y he de ser molido por los dientes de las fieras para ser presentado como pan limpio de Cristo'.","—"
"127","19/Octubre","San Pablo de la Cruz","03/01/1694","18/10/1775","Italia","Ovada / Roma","Sacerdote y Fundador (Congregación Pasionista)","Místico de la Pasión redentora de Cristo. Fundó los Clérigos Descalzos de la Santa Cruz y de la Pasión (Pasionistas) para predicar retiros y meditar el amor del Crucificado.","Llevaba sobre su pecho el distintivo con el corazón y la cruz blanca.","Padres Pasionistas"
"128","19/Octubre","Santos Juan de Brébeuf e Isaac Jogues","Siglo I - IV","19/Octubre","Tradición Católica","—","presbíteros","Venerable testigo del Evangelio en la Tradición Católica celebrado litúrgicamente el día 19 de Octubre.","Memoria litúrgica celebrada anualmente en el Calendario Romano General.","—"
"129","22/Octubre","San Juan Pablo II","18/05/1920","02/04/2005","Polonia","Wadowice / Roma","Papa (Karol Wojtyła)","Sobrevivió a las dictaduras nazi y comunista. Elegido pontífice en 1978, visitó 129 naciones, impulsó la Jornada Mundial de la Juventud y promulgó el Catecismo de la Iglesia Católica.","Lema 'Totus Tuus'. Clave en la caída del Muro de Berlín y el colapso del comunismo europeo.","Juventud mundial de las JMJ"
"130","23/Octubre","San Juan de Capistrano","24/06/1386","23/10/1456","Italia / Hungría","Capestrano / Ilok","Sacerdote Franciscano y Predicador","Juez y gobernador de Perugia que abrazó la pobreza franciscana. Con un crucifijo lideró espiritualmente la heroica resistencia en el sitio de Belgrado salvando a la cristiandad.","Patrono celestial de los capellanes militares.","—"
"131","24/Octubre","San Antonio María Claret","23/12/1807","24/10/1870","España / Francia","Sallent (Barcelona) / Fontfroide","Arzobispo y Fundador (Misioneros Claretianos)","Tejedor catalán ordenado sacerdote. Fundó los Hijos del Inmaculado Corazón de María (Claretianos). Como arzobispo de Santiago de Cuba transformó la isla con la caridad y la predicación.","Confesor de la reina Isabel II; propagó millones de libros y folletos de piedad.","Misioneros Claretianos"
"132","28/Octubre","Santos Simón y Judas","Siglo I","Siglo I d.C.","Tierra Santa / Persia","Galilea / Suanir","Apóstoles de Jesucristo y Mártires","Simón el Cananeo (el Celador) y Judas Tadeo (hermano de Santiago). Evangelizaron juntos Mesopotamia y Persia, sufriendo allí el martirio despedazados por turbas paganas.","San Judas Tadeo es venerado mundialmente como el celestial patrono de las causas desesperadas.","—"
"133","3/Noviembre","San Martín de Porres","09/12/1579","03/11/1639","Perú","Lima","Hermano Lego Dominico","Hijo de noble español y una liberta mulata panameña. Conocido como 'Fray Escoba' por su humildad sin límites curando enfermos y alimentando a cientos de desamparados en el convento de Santo Domingo.","Primer santo mulato de América; lograba que perro, pericote y gato comieran del mismo plato.","Pueblo creyente del Perú"
"134","4/Noviembre","San Carlos Borromeo","02/10/1538","03/11/1584","Italia","Arona / Milán","Cardenal Arzobispo de Milán","Pilar ejecutor del Concilio de Trento. Siendo noble riquísimo vendió todo por sus fieles durante la peste de Milán, caminando descalzo con una soga al cuello para aplacar la cólera divina.","Creó los primeros seminarios tridentinos para la santa formación del clero.","—"
"135","9/Noviembre","La Dedicación de la Basílica de Letrán","—","—","Italia","Roma","Fiesta de la Catedral de Roma","Madre y Cabeza de todas las iglesias de la Ciudad y del Orbe ('Mater et Caput'). Primera basílica pública donada por Constantino al Papa San Silvestre en el 324.","Cátedra titular del Obispo de Roma.","—"
"136","10/Noviembre","San León el Magno","390 d.C.","10/11/461","Italia","Toscana / Roma","Papa y Doctor de la Iglesia","Detuvo a las hordas de Atila el Huno a orillas del río Mincio con su sola majestad espiritual. Su célebre 'Tomus ad Flavianum' fijó en el Concilio de Calcedonia las dos naturalezas en Cristo.","Primer pontífice distinguido con el título de 'El Magno'.","—"
"137","11/Noviembre","San Martín de Tours","316 d.C.","08/11/397","Hungría / Francia","Sabaria / Tours (Candes)","Soldado Romano, Monje y Obispo de Tours","A las puertas de Amiens partió su capa militar con la espada para vestir a un mendigo tiritando, a quien vio en sueños esa noche revelándose como Cristo. Fundó los primeros monasterios de la Galia.","Primer santo no mártir honrado con culto litúrgico oficial en Occidente.","—"
"138","12/Noviembre","San Josafat","1580","12/11/1623","Ucrania / Bielorrusia","Volodymyr / Vítebsk","Arzobispo Basilio Católico y Mártir de la Unidad","Monje de San Basilio y arzobispo greco-católico de Pólotsk. Entregó su vida para restablecer la plena comunión de los cristianos eslavos orientales con la Sede de Pedro.","Sus asesinos fueron tocados por su dulzura y se convirtieron a la fe católica.","Iglesia Greco-Católica Ucraniana"
"139","16/Noviembre","Santa Gertrudis","06/01/1256","17/11/1302","Alemania","Eisleben / Helfta","Virgen Monja Benedictina Cisterciense y Mística","Monja en el cenobio de Helfta. Gran mística y teóloga de la ternura del Corazón de Jesús siglos antes de Paray-le-Monial. Autora de 'El Heraldo del Amor Divino'.","Llamada Santa Gertrudis la Magna por la profundidad sublime de su doctrina espiritual.","—"
"140","16/Noviembre","Santa Margarita de Escocia","1045","16/11/1093","Hungría / Escocia","Castillo de Edimburgo","Reina de Escocia","Princesa anglosajona exiliada que desposó al rey Malcolm III de Escocia. Reformó las costumbres de la corte, atendía huérfanos a diario y promovió la paz del reino.","Madre ejemplar de ocho hijos, tres de los cuales fueron reyes de Escocia.","San David I de Escocia"
"141","17/Noviembre","Santa Isabel de Hungría","07/07/1207","17/11/1231","Hungría / Alemania","Sárospatak / Marburgo","Princesa Real, Esposa y Terciaria Franciscana","Esposa del landgrave Luis de Turingia. Al quedar viuda a los veinte años vistió el sayal franciscano, fundó un hospital y lavaba personalmente las llagas de los leprosos.","Patrona universal de la Orden Franciscana Seglar y de las obras de caridad.","—"
"142","18/Noviembre","La Dedicación de las Basílicas de los Santos Pedro y Pablo","Siglo I a.C.","64 / 67 d.C.","Tierra Santa / Tarso","Roma","Príncipe de los Apóstoles y Apóstol de los Gentiles","Pedro, la roca de la Iglesia, y Pablo, el heraldo universal del Evangelio. Ambos rubricaron con su sangre martirial en Roma la gloria apostólica.","Pedro crucificado hacia abajo en el Vaticano; Pablo degollado en las Tres Fuentes.","Toda la Iglesia Católica"
"143","21/Noviembre","La Presentación de la Santísima Virgen María","—","—","Tierra Santa","Jerusalén","Memoria Litúrgica Mariana / Clausura Monástica","Consagración amorosa de la Niña María a Dios en el Templo de Jerusalén por sus santos padres Joaquín y Ana, disponiendo su alma y cuerpo para el Verbo Divino.","Día 'Pro Orantibus' dedicado a las comunidades contemplativas de clausura.","—"
"144","23/Noviembre","San Clemente I","35 d.C.","23/11/99","Italia","Roma / Crimea","Papa, Padre Apostólico y Mártir","Cuarto pontífice romano y colaborador de San Pablo. Su célebre 'Carta a los Corintios' es el primer documento que atestigua el ejercicio del Primado del Obispo de Roma.","Desterrado al Ponto por Trajano, fue arrojado al mar con un ancla de hierro al cuello.","—"
"145","23/Noviembre","San Columbano","543 d.C.","23/11/615","Irlanda / Italia","Navan / Bobbio","Abad y Misionero Peregrino","Monje irlandés que con doce compañeros recorrió Francia, Suiza e Italia fundando abadías insignes como Luxeuil y Bobbio. Restauró la penitencia sacramental en Europa.","Acuñó la expresión profética: 'Toda Europa es una sola patria cristiana'.","Monjes de Bobbio"
"146","24/Noviembre","Santos Andrés Dung-Lac","1795","1839","Vietnam","Bac Ninh / Hanói","Sacerdote y 117 Mártires de Vietnam","Andrés Dung-Lac y compañeros sacerdotes, catequistas y padres de familia vietnamitas ejecutados por decapitación, estrangulamiento o aserrados por rehusar pisar el crucifijo.","Canonizados comunitariamente por San Juan Pablo II en 1988.","Iglesia católica de Vietnam"
"147","25/Noviembre","Santa Catalina de Alejandría","287 d.C.","25/11/305","Egipto","Alejandría / Monte Sinaí","Virgen, Sabia Filósofa y Mártir","Joven de extraordinaria belleza e inteligencia que rebatió los argumentos de cincuenta filósofos paganos ante el emperador Maximino Daia logrando su conversión. Decapitada.","Patrona de filósofos, estudiantes y universidades. Monasterio del Monte Sinaí.","—"
"148","30/Noviembre","San Andrés","Siglo I a.C.","60 d.C.","Tierra Santa / Grecia","Betsaida / Patras","Apóstol de Jesucristo y Mártir","Hermano de Simón Pedro y discípulo de Juan el Bautista. Fue el primer apóstol llamado por Cristo ('Protóclitos'). Predicó en Grecia y fue crucificado en una cruz en forma de aspa (X).","Patrono principal de Escocia, Rusia, Grecia y de la Iglesia de Constantinopla.","—"
"149","3/Diciembre","San Francisco Javier","07/04/1506","03/12/1552","España / China","Castillo de Javier (Navarra) / Isla de Sancián","Sacerdote Jesuita y Patrono de las Misiones","Cofundador de los Jesuitas. Recorrió miles de millas marinas bautizando personalmente a más de cien mil personas en la India, Malaca y el Japón con celo evangelizador insaciable.","Falleció a las puertas de la China continental. Patrono celestial universal de las misiones.","—"
"150","4/Diciembre","San Juan Damasceno","676 d.C.","04/12/749","Siria / Tierra Santa","Damasco / Mar Saba","Monje, Sacerdote, Teólogo y Doctor de la Iglesia","Alto funcionario de la corte del califa de Damasco que renunció para entrar al monasterio de San Sabas. El más genial defensor del culto a los Santos Iconos frente a la iconoclastia.","Último de los grandes Padres orientales de la Iglesia.","—"
"151","7/Diciembre","San Ambrosio","340 d.C.","04/04/397","Alemania / Italia","Tréveris / Milán","Gobernador Romano, Obispo de Milán y Doctor de la Iglesia","Gobernador aclamado unánimemente obispo por el pueblo siendo catecúmeno. Bautizó a San Agustín, compuso himnos litúrgicos y defendió la independencia eclesial ante emperadores.","Simbolizado por una colmena de abejas por la dulzura oratoria de su predicación.","San Agustín de Hipona"
"152","8/Diciembre","La Inmaculada Concepción de la Bienaventurada Virgen María","—","—","Tierra Santa","Nazaret","Solemnidad Mariana / Dogma Católico","Por singular gracia y privilegio de Dios todopoderoso, en previsión de los méritos de Cristo, la Virgen fue preservada inmune de toda mancha de pecado original desde su concepción.","Proclamada dogma infalible por el Beato Papa Pío IX en 1854 con 'Ineffabilis Deus'.","—"
"153","9/Diciembre","San Juan Diego Cuauhtlatoatzin","1474","30/05/1548","México","Cuautitlán / Tepeyac","Laico Indígena Vidente de Guadalupe","Humilde indígena chichimeca a quien la Virgen de Guadalupe se apareció en el cerro del Tepeyac en diciembre de 1531, estampando milagrosamente su sagrada imagen en su ayate de maguey.","Canonizado por San Juan Pablo II en la Basílica de Guadalupe en el 2002.","Pueblo mexicano"
"154","10/Diciembre","Nuestra Señora de Loreto","—","—","Italia","Loreto (Ancona)","Santuario y Memoria Mariana","Custodia las venerables piedras de la Santa Casa de Nazaret donde la Virgen nació, creció y recibió la Anunciación del Ángel, trasladadas providencialmente a Italia en 1294.","Patrona universal de la aviación y de los viajeros en avión.","—"
